ID,TS_NS,LAT_NS
496,1771565294049365912,1113
497,1771565294049386049,4100
498,1771565294049466322,56705
499,1771565294049471299,4892
500,1771565294049472286,916
501,1771565294049529652,35797
502,1771565294049530802,1065
503,1771565294049552436,4085
504,1771565294049634382,59366
505,1771565294049635615,1136
506,1771565294049639569,3900
507,1771565294049662287,4092
508,1771565294049804147,118269
509,1771565294049805994,1701
510,1771565294049810326,4273
511,1771565294049811331,928
512,1771565294049839156,4390
513,1771565294049927234,63763
514,1771565294049928625,1293
515,1771565294049929493,812
516,1771565294049995606,42762
517,1771565294049996807,1119
518,1771565294050014896,4174
519,1771565294050100917,62160
520,1771565294050102215,1210
521,1771565294050106470,4200
522,1771565294050163955,38556
523,1771565294050165206,1129
524,1771565294050187183,4357
525,1771565294050276414,65059
526,1771565294050281035,4518
527,1771565294050282096,985
528,1771565294050301385,4025
529,1771565294050389234,64032
530,1771565294050390519,1197
531,1771565294050391390,816
532,1771565294050446229,35836
533,1771565294050447508,1195
534,1771565294050506812,39281
535,1771565294050512483,5582
536,1771565294050529699,4184
537,1771565294050615400,61855
538,1771565294050619771,4234
539,1771565294050620819,977
540,1771565294050677179,36840
541,1771565294050678424,1159
542,1771565294050744426,45527
543,1771565294050745854,1335
544,1771565294050767227,4545
545,1771565294050853817,61964
546,1771565294050855201,1291
547,1771565294050856132,872
548,1771565294050925203,43201
549,1771565294050929759,4466
550,1771565294050945076,4159
551,1771565294051030642,60578
552,1771565294051035128,4394
553,1771565294051036207,998
554,1771565294051105147,45991
555,1771565294051106503,1268
556,1771565294051124028,4506
557,1771565294051213060,63579
558,1771565294051214485,1329
559,1771565294051215412,869
560,1771565294051285324,44041
561,1771565294051289794,4389
562,1771565294051305606,4158
563,1771565294051396586,64994
564,1771565294051398043,1333
565,1771565294051398963,849
566,1771565294051463598,42739
567,1771565294051468174,4457
568,1771565294051484116,4273
569,1771565294051571810,62211
570,1771565294051573120,1219
571,1771565294051577289,4106
572,1771565294051640427,40096
573,1771565294051645152,4634
574,1771565294051664087,4293
575,1771565294051929924,240557
576,1771565294051935346,5279
577,1771565294051936421,996
578,1771565294051937302,815
579,1771565294051941373,4012
580,1771565294051942369,913
581,1771565294051943245,810
582,1771565294051947769,4464
583,1771565294051948981,1131
584,1771565294052019954,47352
585,1771565294052024694,4644
586,1771565294052103442,68439
587,1771565294052104938,1394
588,1771565294052109208,4207
589,1771565294052133305,4866
590,1771565294052164107,4648
591,1771565294052248364,58654
592,1771565294052253361,4870
593,1771565294052254537,1093
594,1771565294052327776,46561
595,1771565294052332509,4631
596,1771565294052348268,4577
597,1771565294052434664,60138
598,1771565294052439631,4859
599,1771565294052440756,1040
600,1771565294052513452,44974
601,1771565294052518089,4522
602,1771565294052536307,4420
603,1771565294052626667,63638
604,1771565294052631786,5014
605,1771565294052632895,1025
606,1771565294052700174,44093
607,1771565294052701431,1161
608,1771565294052722818,4578
609,1771565294052818042,68949
610,1771565294052819453,1318
611,1771565294052820436,920
612,1771565294052881305,37633
613,1771565294052885928,4515
614,1771565294052908251,4574
615,1771565294052996622,63225
616,1771565294053001340,4626
617,1771565294053002518,1093
618,1771565294053118610,96150
619,1771565294053120589,1852
620,1771565294053141276,5109
621,1771565294053233075,66322
622,1771565294053237966,4802
623,1771565294053239093,1043
624,1771565294053294128,36027
625,1771565294053295400,1183
626,1771565294053385514,55304
627,1771565294053390170,4568
628,1771565294053413965,4421
629,1771565294053504791,66183
630,1771565294053509558,4662
631,1771565294053510700,1059
632,1771565294053533380,4642
633,1771565294053622990,65262
634,1771565294053627641,4559
635,1771565294053628722,1001
636,1771565294053651491,4269
637,1771565294053742951,66582
638,1771565294053747763,4715
639,1771565294053748783,938
640,1771565294053770760,4419
641,1771565294053866531,69326
642,1771565294053867947,1323
643,1771565294053872258,4256
644,1771565294053931680,39454
645,1771565294053933031,1268
646,1771565294053954473,4373
647,1771565294054041469,62462
648,1771565294054042825,1274
649,1771565294054046860,3979
650,1771565294054068567,4004
651,1771565294054158137,64777
652,1771565294054159392,1174
653,1771565294054163664,4216
654,1771565294054183528,4027
655,1771565294054273878,65097
656,1771565294054275220,1241
657,1771565294054276102,826
658,1771565294054386070,72351
659,1771565294054389079,2553
660,1771565294054390276,1133
661,1771565294054498257,94879
662,1771565294054500687,2254
663,1771565294054508681,7886
664,1771565294054510208,1399
665,1771565294054525057,7473
666,1771565294054551620,5817
667,1771565294054578493,4251
668,1771565294054667758,64111
669,1771565294054669150,1281
670,1771565294054673486,4280
671,1771565294054694127,4128
672,1771565294054781968,64233
673,1771565294054783339,1273
674,1771565294054787480,4082
675,1771565294054808172,4320
676,1771565294054897669,65406
677,1771565294054902410,4656
678,1771565294054903404,920
679,1771565294054956901,35717
680,1771565294054961158,4178
681,1771565294054981654,4255
682,1771565294055069742,64867
683,1771565294055077432,1413
684,1771565294055078254,767
685,1771565294055092767,4351
686,1771565294055173521,57221
687,1771565294055174833,1202
688,1771565294055178980,4095
689,1771565294055239962,39884
690,1771565294055241110,1054
691,1771565294055259248,4071
692,1771565294055342898,59580
